Nodes,Groups,Reduction
60,2,34.56
32,3,-45.65
300,20,15.82
20,3,30.95
8,2,0
16,5,-15.62
4,2,0
256,19,16.57
16,2,0
24,9,32.75
284,6,20.82
4,2,0
4,2,0
4,2,0
24,4,43.75
24,2,-22.22
32,10,3.12
32,9,18.51
32,13,7.08
32,10,18.91
32,13,14.18
4,3,16.66
12,6,10.34
128,3,12.04
205,6,21.24
16,8,14.63
32,14,15.24
18,2,-12.50
256,7,23.08
4,2,0
64,12,22.25
64,4,5.88
64,11,23.62
80,13,18.81
256,19,20.80
4,4,0
4,4,0
4,4,0
24,12,32.89
32,10,16.17
16,2,0
4,4,0
16,3,-19.23
48,5,32.60
4,2,0
16,3,-56.25
16,3,-27.27
16,2,-33.33
32,5,0
32,6,2.77
16,10,12.00
32,3,1.47
4,2,0
64,12,16.11
4,2,0
24,8,15.69
32,7,8.33
32,4,-51.78
32,2,-7.84
300,21,10.28
4,3,16.66
4,4,0
5,2,0
128,6,21.98
256,19,16.34
4,2,0
5,3,0
6,3,-22.22
10,4,-23.33
5,2,0
4,2,0
5,3,11.76
16,9,9.52
4,2,0
8,2,0
128,7,15.59
4,2,0
19,4,-14.70
64,7,14.70
256,7,18.38
8,3,-10.00
4,2,0
32,10,17.46
4,2,0
32,3,-4.68
36,5,13.76
6,2,22.22
300,21,17.13
4,2,0
32,4,14.00
4,2,0
4,2,0
4,2,0
4,4,0
24,8,14.42
4,3,0
8,3,-10.00
8,2,0
24,7,10.00
8,8,0
4,4,0
9,6,0
4,2,0
8,3,-10.00
8,2,0
32,9,3.19
64,16,14.45
8,2,0
8,2,0
64,13,8.98
4,4,0
4,3,0
144,20,14.22
64,7,22.30
8,3,12.50
32,6,13.23
128,5,17.64
242,21,25.95
512,22,24.55
968,22,34.74
8,2,0
32,8,17.27
128,10,22.76
242,22,27.44
512,22,23.69
968,20,30.09
128,15,11.92
242,19,34.55
512,22,23.80
968,20,26.69
64,6,12.85
64,14,7.26
8,2,-50.00
8,3,-12.50
8,2,-50.00
64,15,3.24
64,11,10.79
8,2,0
8,2,0
8,2,0
