Nodes,Groups,Reduction
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,3,16.66
4,2,0
4,3,16.66
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,3,0
4,3,16.66
4,3,16.66
4,2,0
4,2,0
4,3,16.66
4,3,16.66
4,2,0
4,2,0
4,3,16.66
4,3,0
4,2,0
4,3,16.66
4,3,16.66
4,4,0
4,2,0
4,2,0
4,3,0
4,2,0
4,2,0
4,2,0
8,2,0
16,2,0
20,2,4.16
16,2,0
16,2,-9.52
64,10,19.93
16,2,0
16,4,-16.66
8,4,0
128,3,-13.95
16,2,0
40,3,15.95
16,2,0
8,3,14.28
8,5,15.00
15,3,12.50
15,2,0
16,2,0
8,3,12.50
8,2,0
8,2,0
8,3,-10.00
201,3,2.97
201,3,-8.21
4,3,0
4,2,0
8,2,0
10,2,-14.28
8,2,0
10,3,36.11
8,3,-12.50
16,3,13.79
8,4,18.18
8,2,0
16,2,0
16,4,20.00
4,2,0
4,2,0
10,2,4.16
4,3,0
72,3,27.60
128,12,17.19
36,9,24.64
4,3,0
32,2,-187.50
4,2,0
20,2,5.17
4,3,0
4,2,0
256,8,20.59
256,8,22.40
256,8,22.10
5,2,0
5,2,0
5,2,0
5,3,11.76
8,5,0
8,2,0
10,2,12.50
10,2,-16.66
32,9,12.96
4,2,0
15,2,0
6,2,-28.57
12,5,23.07
4,2,0
4,2,0
128,19,20.32
8,2,0
8,2,0
8,6,8.33
16,3,7.69
4,2,0
16,3,-56.25
8,2,0
8,2,0
8,2,0
4,4,0
4,4,0
4,4,0
15,2,0
4,4,0
15,2,0
4,4,0
4,3,0
4,2,0
4,2,0
4,2,0
24,3,25.00
20,5,29.16
20,3,2.85
20,5,23.72
4,2,0
10,3,-3.84
8,4,11.11
54,10,-5.62
26,3,43.13
16,2,-9.52
8,2,0
4,2,0
8,2,0
16,3,-56.25
16,3,-25.00
16,3,-56.25
16,2,-33.33
16,3,7.69
16,3,-27.27
16,3,8.82
4,3,0
16,2,0
16,2,-9.52
16,3,5.71
50,7,-4.82
8,2,0
8,2,0
8,2,0
20,3,30.95
8,2,0
8,2,0
5,3,13.33
4,3,16.66
4,3,0
16,3,8.33
4,2,0
16,2,-9.52
16,3,7.69
8,4,-8.33
16,2,-33.33
16,4,8.33
16,5,14.28
16,3,21.87
16,5,14.28
16,6,13.88
8,2,0
72,3,5.27
6,3,20.00
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
64,11,23.73
64,7,10.66
64,13,18.93
6,2,33.33
128,18,13.97
32,5,18.60
32,6,11.53
32,8,6.45
16,3,7.69
4,2,0
8,2,0
12,3,43.18
8,2,0
8,2,0
6,2,22.22
64,8,9.17
8,2,0
16,3,9.09
12,3,35.71
16,3,-3.33
4,3,0
4,2,0
4,2,0
16,3,12.12
16,3,12.12
4,3,0
16,2,-33.33
128,11,5.77
16,3,7.50
10,2,-16.66
16,3,18.75
4,2,0
4,2,0
16,3,-25.00
128,7,20.45
128,7,23.75
128,7,18.81
16,2,0
8,3,25.00
8,2,0
8,3,14.28
16,2,-33.33
54,7,34.33
32,3,11.42
32,7,22.54
32,3,-39.58
32,3,-4.00
8,3,-10.00
32,4,17.70
9,2,0
8,3,-10.00
16,3,-10.00
4,2,0
9,2,0
4,3,16.66
4,3,16.66
81,17,13.83
81,18,15.40
81,10,15.59
81,15,11.52
81,12,18.04
81,10,5.84
81,14,17.51
63,10,13.85
8,3,14.28
32,10,13.39
32,6,16.00
128,3,10.37
8,4,0
63,5,21.90
4,2,0
8,2,-50.00
8,2,0
4,2,0
16,5,15.00
8,5,0
8,4,11.11
8,2,-50.00
8,2,-50.00
32,5,16.66
32,5,-7.69
32,4,18.18
64,3,16.12
20,3,18.42
12,5,34.37
8,2,0
8,2,-50.00
8,3,25.00
8,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,3,16.66
4,3,0
35,8,2.00
64,10,23.79
64,12,8.01
9,2,0
64,12,15.49
128,16,17.64
64,14,22.24
64,10,15.82
64,6,10.29
64,12,21.28
64,10,16.77
9,2,0
4,3,0
4,3,16.66
4,2,0
16,2,0
16,2,-33.33
4,2,0
8,2,-50.00
8,5,10.00
16,2,0
32,3,23.86
8,3,12.50
8,4,11.11
8,3,-10.00
20,2,43.24
16,2,-125.00
16,6,14.06
16,4,10.00
8,4,0
8,4,-8.33
8,2,0
16,9,4.76
16,2,0
16,3,15.78
36,11,21.66
